no;yrtype;gud;oak;birch;alder;lime
0;0;0.24;0.1339;0.4309;0.0183;0.0737
0;1;1.15;0.0244;0.295;0.2699;0.3988
0;10;1.62;0.1063;0.5528;0.081;0.1437
0;11;2.1;0.1348;0.5262;0.2772;0
7;0;2.08;0.0057;0;0;0.9209
7;10;0.46;0.353;0.2662;0.1038;0.1423
7;11;1.34;0.0132;0.3058;0.5959;0.0714
10;0;1.31;0.26;0.13;0;0.5936
10;10;0.57;0.293;0.2053;0.0326;0.4318
10;11;0.44;0.0366;0.6341;0.1988;0.1129
14;0;2.7;0.657;0.0011;0;0.2858
14;1;1.02;0.0366;0.4209;0.4545;0.046
14;10;1.38;0.2612;0.0942;0.0385;0.4546
14;11;0;0.2718;0.4354;0;0.2317
20;1;0.57;0.0068;0.0753;0.494;0.3829
20;10;2.92;0.0366;0.3339;0.0742;0.5104
30;0;3.95;0.0122;0;0.0082;0.9542
30;10;1.47;0;0.4691;0.0154;0
40;0;1.64;0.029;0.0046;0;0.9279
40;1;1.21;0.0643;0.3318;0.1376;0.3158
40;10;1.31;0.1955;0.3931;0.1093;0.1739
40;11;1.35;0.0089;0.753;0.0803;0.1535
50;10;1.41;0.2665;0.3777;0.0493;0.184
60;1;1.64;0.2065;0.0514;0.3082;0.4179
60;10;0.17;0.2748;0.5297;0.0008;0.1266
60;11;0.77;0.1499;0.492;0.3061;0.0123
80;0;0.09;0.9893;0.0107;0;0
